Function,Concurrency,Success,Failures,TotalTime(sec),TPS,AvgGas
submitMedicalDocument,10,10,0,0.253,39.52569169960474,70318
submitMedicalDocument,25,15,10,0.484,30.991735537190085,70330
submitMedicalDocument,50,25,25,1.188,21.043771043771045,70330
submitMedicalDocument,100,49,51,2.621,18.695154521175123,70330
verifyMedicalRecord,10,10,0,0.28,35.71428571428571,29284
verifyMedicalRecord,25,25,0,0.593,42.15851602023609,28163.52
verifyMedicalRecord,50,50,0,0.89,56.17977528089887,27883.52
verifyMedicalRecord,100,99,1,2.413,41.02776626605885,27869.010101010103
allocateSlot,10,10,0,0.676,14.792899408284022,94547
allocateSlot,25,15,10,1.412,10.623229461756374,126111.2
allocateSlot,50,25,25,5.065,4.935834155972359,179351.52
allocateSlot,100,0,100,4.575,0,0
releaseSlot,10,10,0,0.466,21.459227467811157,32672
releaseSlot,25,15,10,0.775,19.35483870967742,32672
releaseSlot,50,25,25,2.028,12.32741617357002,32672
releaseSlot,100,0,100,8.325,0,0
